1496663600436991709 1496663600.44 0.891264 2.25263
1496663612342258399 1496663612.34 "1/0" "1/0" "1/0" "1/0" -1.31856 3.72153
1496663612421750266 1496663612.42 "1/0" "1/0" "1/0" "1/0" -1.33325 3.71257
1496663612541197131 1496663612.54 "1/0" "1/0" "1/0" "1/0" -1.34608 3.69861
1496663612644327896 1496663612.64 "1/0" "1/0" "1/0" "1/0" -1.35971 3.67127
1496663612721327476 1496663612.72 "1/0" "1/0" "1/0" "1/0" -1.36693 3.65308
1496663612841424482 1496663612.84 "1/0" "1/0" "1/0" "1/0" -1.38471 3.63016
1496663612908951673 1496663612.91 "1/0" "1/0" "1/0" "1/0" -1.39971 3.61753
1496663613029174166 1496663613.03 "1/0" "1/0" "1/0" "1/0" -1.42545 3.60106
1496663613137515152 1496663613.14 "1/0" "1/0" "1/0" "1/0" -1.45608 3.5769
1496663613217839121 1496663613.22 "1/0" "1/0" "1/0" "1/0" -1.47626 3.56
1496663613336707624 1496663613.34 "1/0" "1/0" "1/0" "1/0" -1.49733 3.53406
1496663613436380613 1496663613.44 "1/0" "1/0" "1/0" "1/0" -1.50785 3.51073
1496663613517993658 1496663613.52 "1/0" "1/0" "1/0" "1/0" -1.52905 3.4873
1496663613638798832 1496663613.64 "1/0" "1/0" "1/0" "1/0" -1.55357 3.45169
1496663613745003135 1496663613.75 "1/0" "1/0" "1/0" "1/0" -1.55193 3.42398
1496663613825088711 1496663613.83 "1/0" "1/0" "1/0" "1/0" -1.55885 3.39198
1496663613945669127 1496663613.95 "1/0" "1/0" "1/0" "1/0" -1.55142 3.33182
1496663614010536534 1496663614.01 "1/0" "1/0" "1/0" "1/0" -1.56112 3.29776
1496663614128402385 1496663614.13 "1/0" "1/0" "1/0" "1/0" -1.58117 3.26446
1496663614209005460 1496663614.21 "1/0" "1/0" "1/0" "1/0" -1.5844 3.22134
1496663614309398406 1496663614.31 "1/0" "1/0" "1/0" "1/0" -1.58601 3.17793
1496663614429444531 1496663614.43 "1/0" "1/0" "1/0" "1/0" -1.59025 3.13773
1496663614526526146 1496663614.53 "1/0" "1/0" "1/0" "1/0" -1.59416 3.08045
1496663614604959476 1496663614.6 "1/0" "1/0" "1/0" "1/0" -1.59436 3.04384
1496663614725409644 1496663614.73 "1/0" "1/0" "1/0" "1/0" -1.59482 2.99553
1496663614808322209 1496663614.81 "1/0" "1/0" "1/0" "1/0" -1.59332 2.9531
1496663614945256379 1496663614.95 "1/0" "1/0" "1/0" "1/0" -1.59764 2.90573
1496663615024986449 1496663615.02 "1/0" "1/0" "1/0" "1/0" -1.5969 2.88628
1496663615145624388 1496663615.15 "1/0" "1/0" "1/0" "1/0" -1.57857 2.81083
1496663615240445691 1496663615.24 "1/0" "1/0" "1/0" "1/0" -1.56964 2.77668
1496663615320914944 1496663615.32 "1/0" "1/0" "1/0" "1/0" -1.56143 2.75379
1496663615441424969 1496663615.44 "1/0" "1/0" "1/0" "1/0" -1.55099 2.71895
1496663615545279039 1496663615.55 "1/0" "1/0" "1/0" "1/0" -1.54457 2.69456
1496663615624466492 1496663615.62 "1/0" "1/0" "1/0" "1/0" -1.54347 2.68703
1496663615744188403 1496663615.74 "1/0" "1/0" "1/0" "1/0" -1.54347 2.68703
1496663615808802770 1496663615.81 "1/0" "1/0" "1/0" "1/0" -1.54347 2.68703
1496663615928563599 1496663615.93 "1/0" "1/0" "1/0" "1/0" -1.54347 2.68703
1496663616008224477 1496663616.01 "1/0" "1/0" "1/0" "1/0" -1.54347 2.68703
1496663616108448017 1496663616.11 "1/0" "1/0" "1/0" "1/0" -1.54347 2.68703
