1496663600436991709	1496663600.44	0.691263840541	2.25262978221	
1496663606029328202	1496663606.03	"1/0"	"1/0"	"1/0"	"1/0"	0.428164040081	3.89905790981	
1496663606109606455	1496663606.11	"1/0"	"1/0"	"1/0"	"1/0"	0.408376782572	3.90073928577	
1496663606229618694	1496663606.23	"1/0"	"1/0"	"1/0"	"1/0"	0.374436283977	3.90086730833	
1496663606329554761	1496663606.33	"1/0"	"1/0"	"1/0"	"1/0"	0.326823285181	3.89976222921	
1496663606409045255	1496663606.41	"1/0"	"1/0"	"1/0"	"1/0"	0.298862524875	3.89988856532	
1496663606529288877	1496663606.53	"1/0"	"1/0"	"1/0"	"1/0"	0.261313768822	3.89921690884	
1496663606628628262	1496663606.63	"1/0"	"1/0"	"1/0"	"1/0"	0.238469552772	3.89256012074	
1496663606709865139	1496663606.71	"1/0"	"1/0"	"1/0"	"1/0"	0.230745650521	3.88999745502	
1496663606830540672	1496663606.83	"1/0"	"1/0"	"1/0"	"1/0"	0.20375410671	3.88542477737	
1496663606929679299	1496663606.93	"1/0"	"1/0"	"1/0"	"1/0"	0.16589061903	3.88206875582	
1496663607009326312	1496663607.01	"1/0"	"1/0"	"1/0"	"1/0"	0.145213565568	3.880616312	
1496663607129787779	1496663607.13	"1/0"	"1/0"	"1/0"	"1/0"	0.104245300655	3.87495658104	
1496663607232707839	1496663607.23	"1/0"	"1/0"	"1/0"	"1/0"	0.0625568399084	3.87429177542	
1496663607312912547	1496663607.31	"1/0"	"1/0"	"1/0"	"1/0"	0.0341400664104	3.87469288299	
1496663607432322940	1496663607.43	"1/0"	"1/0"	"1/0"	"1/0"	-0.0117663687832	3.86921614851	
1496663607533221584	1496663607.53	"1/0"	"1/0"	"1/0"	"1/0"	-0.0252977026681	3.86080525946	
1496663607612474393	1496663607.61	"1/0"	"1/0"	"1/0"	"1/0"	-0.0260741064553	3.85800534144	
1496663607732998980	1496663607.73	"1/0"	"1/0"	"1/0"	"1/0"	-0.0481233799414	3.84867795894	
1496663607836938365	1496663607.84	"1/0"	"1/0"	"1/0"	"1/0"	-0.0970920361908	3.8371413979	
1496663607916788842	1496663607.92	"1/0"	"1/0"	"1/0"	"1/0"	-0.127850951213	3.83030247897	
1496663608037046035	1496663608.04	"1/0"	"1/0"	"1/0"	"1/0"	-0.174743850429	3.82864547501	
1496663608137967732	1496663608.14	"1/0"	"1/0"	"1/0"	"1/0"	-0.216074196781	3.8230322423	
1496663608217182706	1496663608.22	"1/0"	"1/0"	"1/0"	"1/0"	-0.242452825494	3.81851205704	
1496663608337757335	1496663608.34	"1/0"	"1/0"	"1/0"	"1/0"	-0.286408600605	3.8075712789	
1496663608432787462	1496663608.43	"1/0"	"1/0"	"1/0"	"1/0"	-0.3263203022	3.80522766104	
1496663608512240755	1496663608.51	"1/0"	"1/0"	"1/0"	"1/0"	-0.336451310631	3.80255215148	
1496663608633540416	1496663608.63	"1/0"	"1/0"	"1/0"	"1/0"	-0.354910851171	3.80962084087	
1496663608732844467	1496663608.73	"1/0"	"1/0"	"1/0"	"1/0"	-0.386971178152	3.81599972592	
1496663608813101387	1496663608.81	"1/0"	"1/0"	"1/0"	"1/0"	-0.404543571652	3.8188196914	
1496663608932923536	1496663608.93	"1/0"	"1/0"	"1/0"	"1/0"	-0.435029682456	3.82012796582	
1496663609032877129	1496663609.03	"1/0"	"1/0"	"1/0"	"1/0"	-0.478356660593	3.82665589814	
